,i,name,SMILES
261,261,S(858) <=> S(867),CCCC(CCC)O[O]_C[CH]CC(CCC)OO
262,262,S(867) + O2(2) <=> S(889),C[CH]CC(CCC)OO+[O][O]_CCCC(CC(C)O[O])OO
263,263,S(438) <=> S(448),CCCC(C)O[O]_C[CH]CC(C)OO
264,264,S(889) <=> S(910) + OH(15),CCCC(CC(C)O[O])OO_CCCC(=O)CC(C)OO+[OH]
265,265,S(185) <=> S(221),CCCCO[O]_[CH2]CCCOO
266,266,S(221) <=> S(220),[CH2]CCCOO_C[CH]CCOO
267,267,S(220) <=> CH2(23) + S(114),C[CH]CCOO_[CH2]+[CH2]CCOO
268,268,S(221) <=> CH2(23) + S(114),[CH2]CCCOO_[CH2]+[CH2]CCOO
269,269,C7H15(683) + H(14) <=> C7H16(1),[CH2]CCCCCC+[H]_CCCCCCC
270,270,C7H15(683) + HO2(16) <=> C7H16(1) + O2(2),[CH2]CCCCCC+[O]O_CCCCCCC+[O][O]
271,271,C7H16(1) + O(5) <=> C7H15(683) + OH(15),CCCCCCC+[O]_[CH2]CCCCCC+[OH]
272,272,C7H16(1) + OH(15) <=> H2O(8) + C7H15(683),CCCCCCC+[OH]_O+[CH2]CCCCCC
273,273,H2O2(17) + C7H15(683) <=> C7H16(1) + HO2(16),OO+[CH2]CCCCCC_CCCCCCC+[O]O
274,274,C2H5(43) + C7H15(683) <=> C2H4(11) + C7H16(1),C[CH2]+[CH2]CCCCCC_C=C+CCCCCCC
275,275,C7H16(1) + H(14) <=> C7H15(683) + H2(13),CCCCCCC+[H]_[CH2]CCCCCC+[H][H]
276,276,C7H16(1) + CH3(18) <=> CH4(10) + C7H15(683),CCCCCCC+[CH3]_C+[CH2]CCCCCC
277,277,NC3H7(92) + C7H15(683) <=> C3H6(12) + C7H16(1),[CH2]CC+[CH2]CCCCCC_C=CC+CCCCCCC
278,278,C7H15(683) <=> C7H15(682),[CH2]CCCCCC_C[CH]CCCCC
279,279,C7H16(1) + C7H15(683) <=> C7H16(1) + C7H15(682),CCCCCCC+[CH2]CCCCCC_CCCCCCC+C[CH]CCCCC
280,280,C7H15(683) <=> C7H15(679),[CH2]CCCCCC_CC[CH]CCCC
281,281,C7H16(1) + C7H15(683) <=> C7H16(1) + C7H15(679),CCCCCCC+[CH2]CCCCCC_CCCCCCC+CC[CH]CCCC
282,282,C7H15(683) <=> C7H15(680),[CH2]CCCCCC_CCC[CH]CCC
283,283,C7H16(1) + C7H15(683) <=> C7H16(1) + C7H15(680),CCCCCCC+[CH2]CCCCCC_CCCCCCC+CCC[CH]CCC
284,284,C2H4(11) + C5H11(421) <=> C7H15(683),C=C+[CH2]CCCC_[CH2]CCCCCC
285,285,C7H15(679) <=> C7H15(683),CC[CH]CCCC_[CH2]CCCCCC
286,286,C7H15(683) + O2(2) <=> S(969),[CH2]CCCCCC+[O][O]_CCCCCCCO[O]
287,287,S(816) <=> S(834),CCCCC(CC)O[O]_[CH2]CC(CCCC)OO
288,288,S(782) <=> S(763),CC[CH]CCC(C)OO_CCCCCC(C)O[O]
289,289,S(782) + O2(2) <=> S(1025),CC[CH]CCC(C)OO+[O][O]_CCC(CCC(C)OO)O[O]
290,290,S(835) <=> S(816),C[CH]CCC(CC)OO_CCCCC(CC)O[O]
291,291,S(834) <=> S(835),[CH2]CC(CCCC)OO_C[CH]CCC(CC)OO
292,292,S(1048) <=> S(1025),CCC(CCC(C)O[O])OO_CCC(CCC(C)OO)O[O]
293,293,S(835) + O2(2) <=> S(1048),C[CH]CCC(CC)OO+[O][O]_CCC(CCC(C)O[O])OO
294,294,S(220) + O2(2) <=> S(226),C[CH]CCOO+[O][O]_CC(CCOO)O[O]
295,295,S(782) <=> S(1011) + OH(15),CC[CH]CCC(C)OO_CCC1CCC(C)O1+[OH]
296,296,S(835) <=> S(1011) + OH(15),C[CH]CCC(CC)OO_CCC1CCC(C)O1+[OH]
297,297,S(785) + C7H15(679) <=> S(763) + C7H16(1),CCCCCC(C)OO+CC[CH]CCCC_CCCCCC(C)O[O]+CCCCCCC
298,298,S(785) + C7H15(680) <=> S(763) + C7H16(1),CCCCCC(C)OO+CCC[CH]CCC_CCCCCC(C)O[O]+CCCCCCC
299,299,S(785) + C7H15(682) <=> S(763) + C7H16(1),CCCCCC(C)OO+C[CH]CCCCC_CCCCCC(C)O[O]+CCCCCCC
300,300,S(785) + C7H15(683) <=> S(763) + C7H16(1),CCCCCC(C)OO+[CH2]CCCCCC_CCCCCC(C)O[O]+CCCCCCC
301,301,C7H16(1) + S(782) <=> S(785) + C7H15(679),CCCCCCC+CC[CH]CCC(C)OO_CCCCCC(C)OO+CC[CH]CCCC
302,302,S(785) + C7H15(680) <=> C7H16(1) + S(782),CCCCCC(C)OO+CCC[CH]CCC_CCCCCCC+CC[CH]CCC(C)OO
303,303,C7H16(1) + S(782) <=> S(785) + C7H15(682),CCCCCCC+CC[CH]CCC(C)OO_CCCCCC(C)OO+C[CH]CCCCC
304,304,S(785) + C7H15(683) <=> C7H16(1) + S(782),CCCCCC(C)OO+[CH2]CCCCCC_CCCCCCC+CC[CH]CCC(C)OO
305,305,C7H15(682) + HO2(16) <=> S(785),C[CH]CCCCC+[O]O_CCCCCC(C)OO
306,306,S(763) + H(14) <=> S(785),CCCCCC(C)O[O]+[H]_CCCCCC(C)OO
307,307,S(782) + H(14) <=> S(785),CC[CH]CCC(C)OO+[H]_CCCCCC(C)OO
308,308,S(763) + HO2(16) <=> S(785) + O2(2),CCCCCC(C)O[O]+[O]O_CCCCCC(C)OO+[O][O]
309,309,S(782) + HO2(16) <=> S(785) + O2(2),CC[CH]CCC(C)OO+[O]O_CCCCCC(C)OO+[O][O]
310,310,S(837) + C7H15(679) <=> S(816) + C7H16(1),CCCCC(CC)OO+CC[CH]CCCC_CCCCC(CC)O[O]+CCCCCCC
311,311,S(837) + C7H15(680) <=> S(816) + C7H16(1),CCCCC(CC)OO+CCC[CH]CCC_CCCCC(CC)O[O]+CCCCCCC
312,312,S(837) + C7H15(682) <=> S(816) + C7H16(1),CCCCC(CC)OO+C[CH]CCCCC_CCCCC(CC)O[O]+CCCCCCC
313,313,S(837) + C7H15(683) <=> S(816) + C7H16(1),CCCCC(CC)OO+[CH2]CCCCCC_CCCCC(CC)O[O]+CCCCCCC
314,314,C7H16(1) + S(834) <=> S(837) + C7H15(679),CCCCCCC+[CH2]CC(CCCC)OO_CCCCC(CC)OO+CC[CH]CCCC
315,315,C7H16(1) + S(834) <=> S(837) + C7H15(680),CCCCCCC+[CH2]CC(CCCC)OO_CCCCC(CC)OO+CCC[CH]CCC
316,316,C7H16(1) + S(834) <=> S(837) + C7H15(682),CCCCCCC+[CH2]CC(CCCC)OO_CCCCC(CC)OO+C[CH]CCCCC
317,317,C7H16(1) + S(834) <=> S(837) + C7H15(683),CCCCCCC+[CH2]CC(CCCC)OO_CCCCC(CC)OO+[CH2]CCCCCC
318,318,C7H16(1) + S(835) <=> S(837) + C7H15(679),CCCCCCC+C[CH]CCC(CC)OO_CCCCC(CC)OO+CC[CH]CCCC
319,319,S(837) + C7H15(680) <=> C7H16(1) + S(835),CCCCC(CC)OO+CCC[CH]CCC_CCCCCCC+C[CH]CCC(CC)OO
320,320,C7H16(1) + S(835) <=> S(837) + C7H15(682),CCCCCCC+C[CH]CCC(CC)OO_CCCCC(CC)OO+C[CH]CCCCC
321,321,S(837) + C7H15(683) <=> C7H16(1) + S(835),CCCCC(CC)OO+[CH2]CCCCCC_CCCCCCC+C[CH]CCC(CC)OO
322,322,C7H15(679) + HO2(16) <=> S(837),CC[CH]CCCC+[O]O_CCCCC(CC)OO
323,323,S(816) + H(14) <=> S(837),CCCCC(CC)O[O]+[H]_CCCCC(CC)OO
324,324,S(835) + H(14) <=> S(837),C[CH]CCC(CC)OO+[H]_CCCCC(CC)OO
325,325,S(834) + H(14) <=> S(837),[CH2]CC(CCCC)OO+[H]_CCCCC(CC)OO
326,326,S(816) + HO2(16) <=> S(837) + O2(2),CCCCC(CC)O[O]+[O]O_CCCCC(CC)OO+[O][O]
327,327,S(835) + HO2(16) <=> S(837) + O2(2),C[CH]CCC(CC)OO+[O]O_CCCCC(CC)OO+[O][O]
328,328,S(834) + HO2(16) <=> S(837) + O2(2),[CH2]CC(CCCC)OO+[O]O_CCCCC(CC)OO+[O][O]
329,329,S(985) + C7H15(679) <=> C7H16(1) + S(969),CCCCCCCOO+CC[CH]CCCC_CCCCCCC+CCCCCCCO[O]
330,330,S(985) + C7H15(680) <=> C7H16(1) + S(969),CCCCCCCOO+CCC[CH]CCC_CCCCCCC+CCCCCCCO[O]
331,331,S(985) + C7H15(682) <=> C7H16(1) + S(969),CCCCCCCOO+C[CH]CCCCC_CCCCCCC+CCCCCCCO[O]
332,332,S(985) + C7H15(683) <=> C7H16(1) + S(969),CCCCCCCOO+[CH2]CCCCCC_CCCCCCC+CCCCCCCO[O]
333,333,C7H15(683) + HO2(16) <=> S(985),[CH2]CCCCCC+[O]O_CCCCCCCOO
334,334,S(969) + H(14) <=> S(985),CCCCCCCO[O]+[H]_CCCCCCCOO
335,335,NC3H7(92) + S(221) <=> S(985),[CH2]CC+[CH2]CCCOO_CCCCCCCOO
336,336,PC4H9(183) + S(114) <=> S(985),[CH2]CCC+[CH2]CCOO_CCCCCCCOO
337,337,S(969) + HO2(16) <=> S(985) + O2(2),CCCCCCCO[O]+[O]O_CCCCCCCOO+[O][O]
338,338,S(226) <=> S(239),CC(CCOO)O[O]_CC(C[CH]OO)OO
339,339,H2O2(17) + C2H3(22) <=> C2H4(11) + HO2(16),OO+[CH]=C_C=C+[O]O
340,340,S(763) + H2O2(17) <=> S(785) + HO2(16),CCCCCC(C)O[O]+OO_CCCCCC(C)OO+[O]O
341,341,S(782) + H2O2(17) <=> S(785) + HO2(16),CC[CH]CCC(C)OO+OO_CCCCCC(C)OO+[O]O
342,342,S(816) + H2O2(17) <=> S(837) + HO2(16),CCCCC(CC)O[O]+OO_CCCCC(CC)OO+[O]O
343,343,S(835) + H2O2(17) <=> S(837) + HO2(16),C[CH]CCC(CC)OO+OO_CCCCC(CC)OO+[O]O
344,344,H2O2(17) + S(834) <=> S(837) + HO2(16),OO+[CH2]CC(CCCC)OO_CCCCC(CC)OO+[O]O
345,345,S(969) + H2O2(17) <=> S(985) + HO2(16),CCCCCCCO[O]+OO_CCCCCCCOO+[O]O
346,346,C2H5(43) + HO2(16) <=> C2H4(11) + H2O2(17),C[CH2]+[O]O_C=C+OO
347,347,NC3H7(92) + HO2(16) <=> C3H6(12) + H2O2(17),[CH2]CC+[O]O_C=CC+OO
348,348,C7H15(679) + CH3CO(20) <=> CH2CO(24) + C7H16(1),CC[CH]CCCC+C[C]=O_C=C=O+CCCCCCC
349,349,C7H15(680) + CH3CO(20) <=> CH2CO(24) + C7H16(1),CCC[CH]CCC+C[C]=O_C=C=O+CCCCCCC
350,350,C7H15(682) + CH3CO(20) <=> CH2CO(24) + C7H16(1),C[CH]CCCCC+C[C]=O_C=C=O+CCCCCCC
351,351,CH3CO(20) + C7H15(683) <=> CH2CO(24) + C7H16(1),C[C]=O+[CH2]CCCCCC_C=C=O+CCCCCCC
352,352,C7H15(679) + CH2CHO(21) <=> CH2CO(24) + C7H16(1),CC[CH]CCCC+[CH2]C=O_C=C=O+CCCCCCC
353,353,C7H15(680) + CH2CHO(21) <=> CH2CO(24) + C7H16(1),CCC[CH]CCC+[CH2]C=O_C=C=O+CCCCCCC
354,354,C7H15(682) + CH2CHO(21) <=> CH2CO(24) + C7H16(1),C[CH]CCCCC+[CH2]C=O_C=C=O+CCCCCCC
355,355,CH2CHO(21) + C7H15(683) <=> CH2CO(24) + C7H16(1),[CH2]C=O+[CH2]CCCCCC_C=C=O+CCCCCCC
356,356,C7H15(679) + C2H3(22) <=> C2H2(25) + C7H16(1),CC[CH]CCCC+[CH]=C_C#C+CCCCCCC
357,357,C7H15(680) + C2H3(22) <=> C2H2(25) + C7H16(1),CCC[CH]CCC+[CH]=C_C#C+CCCCCCC
358,358,C7H15(682) + C2H3(22) <=> C2H2(25) + C7H16(1),C[CH]CCCCC+[CH]=C_C#C+CCCCCCC
359,359,C7H15(683) + C2H3(22) <=> C2H2(25) + C7H16(1),[CH2]CCCCCC+[CH]=C_C#C+CCCCCCC
360,360,C2H2(25) + O2(2) <=> C2H(4) + HO2(16),C#C+[O][O]_[C]#C+[O]O
361,361,C7H15(679) + HCO(19) <=> C7H16(1) + CO(6),CC[CH]CCCC+[CH]=O_CCCCCCC+[C-]#[O+]
362,362,C7H15(680) + HCO(19) <=> C7H16(1) + CO(6),CCC[CH]CCC+[CH]=O_CCCCCCC+[C-]#[O+]
363,363,C7H15(682) + HCO(19) <=> C7H16(1) + CO(6),C[CH]CCCCC+[CH]=O_CCCCCCC+[C-]#[O+]
364,364,C7H15(683) + HCO(19) <=> C7H16(1) + CO(6),[CH2]CCCCCC+[CH]=O_CCCCCCC+[C-]#[O+]
365,365,C2H5(43) + OH(15) <=> C2H4(11) + H2O(8),C[CH2]+[OH]_C=C+O
366,366,NC3H7(92) + OH(15) <=> C3H6(12) + H2O(8),[CH2]CC+[OH]_C=CC+O
367,367,S(785) + OH(15) <=> S(763) + H2O(8),CCCCCC(C)OO+[OH]_CCCCCC(C)O[O]+O
368,368,S(837) + OH(15) <=> S(816) + H2O(8),CCCCC(CC)OO+[OH]_CCCCC(CC)O[O]+O
369,369,C2H5(43) + HCO(19) <=> C2H4(11) + CH2O(9),C[CH2]+[CH]=O_C=C+C=O
370,370,NC3H7(92) + HCO(19) <=> C3H6(12) + CH2O(9),[CH2]CC+[CH]=O_C=CC+C=O
371,371,NC3H7(92) + CH3(18) <=> CH4(10) + C3H6(12),[CH2]CC+[CH3]_C+C=CC
372,372,NC3H7(92) + C2H3(22) <=> C2H4(11) + C3H6(12),[CH2]CC+[CH]=C_C=C+C=CC
373,373,S(763) + C2H5(43) <=> C2H4(11) + S(785),CCCCCC(C)O[O]+C[CH2]_C=C+CCCCCC(C)OO
374,374,S(782) + C2H5(43) <=> C2H4(11) + S(785),CC[CH]CCC(C)OO+C[CH2]_C=C+CCCCCC(C)OO
375,375,S(816) + C2H5(43) <=> C2H4(11) + S(837),CCCCC(CC)O[O]+C[CH2]_C=C+CCCCC(CC)OO
376,376,C2H5(43) + S(835) <=> C2H4(11) + S(837),C[CH2]+C[CH]CCC(CC)OO_C=C+CCCCC(CC)OO
377,377,C2H5(43) + S(834) <=> C2H4(11) + S(837),C[CH2]+[CH2]CC(CCCC)OO_C=C+CCCCC(CC)OO
378,378,S(969) + C2H5(43) <=> C2H4(11) + S(985),CCCCCCCO[O]+C[CH2]_C=C+CCCCCCCOO
379,379,S(763) + NC3H7(92) <=> C3H6(12) + S(785),CCCCCC(C)O[O]+[CH2]CC_C=CC+CCCCCC(C)OO
380,380,S(782) + NC3H7(92) <=> C3H6(12) + S(785),CC[CH]CCC(C)OO+[CH2]CC_C=CC+CCCCCC(C)OO
381,381,S(816) + NC3H7(92) <=> C3H6(12) + S(837),CCCCC(CC)O[O]+[CH2]CC_C=CC+CCCCC(CC)OO
382,382,S(835) + NC3H7(92) <=> C3H6(12) + S(837),C[CH]CCC(CC)OO+[CH2]CC_C=CC+CCCCC(CC)OO
383,383,NC3H7(92) + S(834) <=> C3H6(12) + S(837),[CH2]CC+[CH2]CC(CCCC)OO_C=CC+CCCCC(CC)OO
384,384,S(969) + NC3H7(92) <=> C3H6(12) + S(985),CCCCCCCO[O]+[CH2]CC_C=CC+CCCCCCCOO
385,385,S(239) <=> S(253) + OH(15),CC(C[CH]OO)OO_CC(CC=O)OO+[OH]
386,386,S(1025) <=> S(1045),CCC(CCC(C)OO)O[O]_[CH2]CC(CCC(C)OO)OO
387,387,S(1045) <=> S(1048),[CH2]CC(CCC(C)OO)OO_CCC(CCC(C)O[O])OO
388,388,PC4H9(183) <=> SC4H9(184),[CH2]CCC_C[CH]CC
389,389,SC4H9(184) <=> C3H6(12) + CH3(18),C[CH]CC_C=CC+[CH3]
390,390,S(970) + O(5) <=> S(969),CCCCCCC[O]+[O]_CCCCCCCO[O]
391,391,S(970) + OH(15) <=> S(985),CCCCCCC[O]+[OH]_CCCCCCCOO
392,392,C7H15(683) + O(5) <=> S(970),[CH2]CCCCCC+[O]_CCCCCCC[O]
393,393,S(970) <=> S(1273),CCCCCCC[O]_CCC[CH]CCCO
394,394,IC3H7(93) + H(14) <=> C2H5(43) + CH3(18),C[CH]C+[H]_C[CH2]+[CH3]
395,395,IC3H7(93) + OH(15) <=> C3H6(12) + H2O(8),C[CH]C+[OH]_C=CC+O
396,396,C3H6(12) + HO2(16) <=> IC3H7(93) + O2(2),C=CC+[O]O_C[CH]C+[O][O]
397,397,C3H6(12) + H(14) <=> IC3H7(93),C=CC+[H]_C[CH]C
398,398,C7H15(679) + IC3H7(93) <=> C3H6(12) + C7H16(1),CC[CH]CCCC+C[CH]C_C=CC+CCCCCCC
399,399,C7H15(680) + IC3H7(93) <=> C3H6(12) + C7H16(1),CCC[CH]CCC+C[CH]C_C=CC+CCCCCCC
400,400,IC3H7(93) + C7H15(682) <=> C3H6(12) + C7H16(1),C[CH]C+C[CH]CCCCC_C=CC+CCCCCCC
401,401,IC3H7(93) + C7H15(683) <=> C3H6(12) + C7H16(1),C[CH]C+[CH2]CCCCCC_C=CC+CCCCCCC
402,402,NC3H7(92) <=> IC3H7(93),[CH2]CC_C[CH]C
403,403,IC3H7(93) + HO2(16) <=> C3H6(12) + H2O2(17),C[CH]C+[O]O_C=CC+OO
404,404,IC3H7(93) + HCO(19) <=> C3H6(12) + CH2O(9),C[CH]C+[CH]=O_C=CC+C=O
405,405,IC3H7(93) + CH3(18) <=> CH4(10) + C3H6(12),C[CH]C+[CH3]_C+C=CC
406,406,IC3H7(93) + C2H3(22) <=> C2H4(11) + C3H6(12),C[CH]C+[CH]=C_C=C+C=CC
407,407,S(763) + IC3H7(93) <=> C3H6(12) + S(785),CCCCCC(C)O[O]+C[CH]C_C=CC+CCCCCC(C)OO
408,408,S(782) + IC3H7(93) <=> C3H6(12) + S(785),CC[CH]CCC(C)OO+C[CH]C_C=CC+CCCCCC(C)OO
409,409,S(816) + IC3H7(93) <=> C3H6(12) + S(837),CCCCC(CC)O[O]+C[CH]C_C=CC+CCCCC(CC)OO
410,410,IC3H7(93) + S(835) <=> C3H6(12) + S(837),C[CH]C+C[CH]CCC(CC)OO_C=CC+CCCCC(CC)OO
411,411,IC3H7(93) + S(834) <=> C3H6(12) + S(837),C[CH]C+[CH2]CC(CCCC)OO_C=CC+CCCCC(CC)OO
412,412,S(969) + IC3H7(93) <=> C3H6(12) + S(985),CCCCCCCO[O]+C[CH]C_C=CC+CCCCCCCOO
413,413,IC3H7(93) <=> C2H5(43) + CH2(23),C[CH]C_C[CH2]+[CH2]
414,414,C4H8(189) + H(14) <=> PC4H9(183),C=CCC+[H]_[CH2]CCC
415,415,C4H8(189) + H(14) <=> SC4H9(184),C=CCC+[H]_C[CH]CC
416,416,PC4H9(183) + O2(2) <=> C4H8(189) + HO2(16),[CH2]CCC+[O][O]_C=CCC+[O]O
417,417,SC4H9(184) + O2(2) <=> C4H8(189) + HO2(16),C[CH]CC+[O][O]_C=CCC+[O]O
418,418,C2H5(43) + C2H3(22) <=> C4H8(189),C[CH2]+[CH]=C_C=CCC
419,419,S(185) <=> C4H8(189) + HO2(16),CCCCO[O]_C=CCC+[O]O
420,420,S(443) => C4H8(189) + CH2O(9) + OH(15),CC[CH]CCOO_C=CCC+C=O+[OH]
421,421,C4H8(189) + NC3H7(92) <=> C7H15(679),C=CCC+[CH2]CC_CC[CH]CCCC
422,422,C2H4(11) + C2H4(11) <=> C4H8(189),C=C+C=C_C=CCC
423,423,C7H15(679) + PC4H9(183) <=> C4H8(189) + C7H16(1),CC[CH]CCCC+[CH2]CCC_C=CCC+CCCCCCC
424,424,C7H15(679) + SC4H9(184) <=> C4H8(189) + C7H16(1),CC[CH]CCCC+C[CH]CC_C=CCC+CCCCCCC
425,425,C7H15(680) + PC4H9(183) <=> C4H8(189) + C7H16(1),CCC[CH]CCC+[CH2]CCC_C=CCC+CCCCCCC
426,426,C7H15(680) + SC4H9(184) <=> C4H8(189) + C7H16(1),CCC[CH]CCC+C[CH]CC_C=CCC+CCCCCCC
427,427,C7H15(682) + PC4H9(183) <=> C4H8(189) + C7H16(1),C[CH]CCCCC+[CH2]CCC_C=CCC+CCCCCCC
428,428,SC4H9(184) + C7H15(682) <=> C4H8(189) + C7H16(1),C[CH]CC+C[CH]CCCCC_C=CCC+CCCCCCC
429,429,PC4H9(183) + C7H15(683) <=> C4H8(189) + C7H16(1),[CH2]CCC+[CH2]CCCCCC_C=CCC+CCCCCCC
430,430,SC4H9(184) + C7H15(683) <=> C4H8(189) + C7H16(1),C[CH]CC+[CH2]CCCCCC_C=CCC+CCCCCCC
431,431,S(985) + OH(15) <=> S(969) + H2O(8),CCCCCCCOO+[OH]_CCCCCCCO[O]+O
432,432,S(785) + S(782) <=> S(785) + S(763),CCCCCC(C)OO+CC[CH]CCC(C)OO_CCCCCC(C)OO+CCCCCC(C)O[O]
433,433,S(816) + S(785) <=> S(837) + S(763),CCCCC(CC)O[O]+CCCCCC(C)OO_CCCCC(CC)OO+CCCCCC(C)O[O]
434,434,S(785) + S(835) <=> S(837) + S(763),CCCCCC(C)OO+C[CH]CCC(CC)OO_CCCCC(CC)OO+CCCCCC(C)O[O]
435,435,S(785) + S(834) <=> S(837) + S(763),CCCCCC(C)OO+[CH2]CC(CCCC)OO_CCCCC(CC)OO+CCCCCC(C)O[O]
436,436,S(785) + S(969) <=> S(763) + S(985),CCCCCC(C)OO+CCCCCCCO[O]_CCCCCC(C)O[O]+CCCCCCCOO
437,437,S(837) + S(782) <=> S(816) + S(785),CCCCC(CC)OO+CC[CH]CCC(C)OO_CCCCC(CC)O[O]+CCCCCC(C)OO
438,438,S(837) + S(835) <=> S(837) + S(816),CCCCC(CC)OO+C[CH]CCC(CC)OO_CCCCC(CC)OO+CCCCC(CC)O[O]
439,439,S(837) + S(834) <=> S(837) + S(816),CCCCC(CC)OO+[CH2]CC(CCCC)OO_CCCCC(CC)OO+CCCCC(CC)O[O]
440,440,S(837) + S(969) <=> S(816) + S(985),CCCCC(CC)OO+CCCCCCCO[O]_CCCCC(CC)O[O]+CCCCCCCOO
441,441,S(985) + S(782) <=> S(785) + S(969),CCCCCCCOO+CC[CH]CCC(C)OO_CCCCCC(C)OO+CCCCCCCO[O]
442,442,S(985) + S(835) <=> S(837) + S(969),CCCCCCCOO+C[CH]CCC(CC)OO_CCCCC(CC)OO+CCCCCCCO[O]
443,443,S(985) + S(834) <=> S(837) + S(969),CCCCCCCOO+[CH2]CC(CCCC)OO_CCCCC(CC)OO+CCCCCCCO[O]
444,444,S(1273) + O2(2) <=> S(1307),CCC[CH]CCCO+[O][O]_CCCC(CCCO)O[O]
445,445,CH3(18) + O2(2) <=> CH3O2(39),[CH3]+[O][O]_CO[O]
446,446,C7H14(808) + H(14) <=> C7H15(679),CCC=CCCC+[H]_CC[CH]CCCC
447,447,C7H15(679) + O2(2) <=> C7H14(808) + HO2(16),CC[CH]CCCC+[O][O]_CCC=CCCC+[O]O
448,448,S(816) <=> C7H14(808) + HO2(16),CCCCC(CC)O[O]_CCC=CCCC+[O]O
449,449,C7H14(808) + H(14) <=> C7H15(680),CCC=CCCC+[H]_CCC[CH]CCC
450,450,C7H15(680) + O2(2) <=> C7H14(808) + HO2(16),CCC[CH]CCC+[O][O]_CCC=CCCC+[O]O
451,451,S(858) <=> C7H14(808) + HO2(16),CCCC(CCC)O[O]_CCC=CCCC+[O]O
452,452,C7H15(680) + C7H15(679) <=> C7H14(808) + C7H16(1),CCC[CH]CCC+CC[CH]CCCC_CCC=CCCC+CCCCCCC
453,453,C7H15(679) + C7H15(679) <=> C7H14(808) + C7H16(1),CC[CH]CCCC+CC[CH]CCCC_CCC=CCCC+CCCCCCC
454,454,C7H15(680) + C7H15(680) <=> C7H14(808) + C7H16(1),CCC[CH]CCC+CCC[CH]CCC_CCC=CCCC+CCCCCCC
455,455,C7H15(680) + C7H15(682) <=> C7H14(808) + C7H16(1),CCC[CH]CCC+C[CH]CCCCC_CCC=CCCC+CCCCCCC
456,456,C7H15(679) + C7H15(682) <=> C7H14(808) + C7H16(1),CC[CH]CCCC+C[CH]CCCCC_CCC=CCCC+CCCCCCC
457,457,C7H15(680) + C7H15(683) <=> C7H14(808) + C7H16(1),CCC[CH]CCC+[CH2]CCCCCC_CCC=CCCC+CCCCCCC
458,458,C7H15(679) + C7H15(683) <=> C7H14(808) + C7H16(1),CC[CH]CCCC+[CH2]CCCCCC_CCC=CCCC+CCCCCCC
459,459,C7H15(680) + OH(15) <=> C7H14(808) + H2O(8),CCC[CH]CCC+[OH]_CCC=CCCC+O
460,460,C7H15(679) + OH(15) <=> C7H14(808) + H2O(8),CC[CH]CCCC+[OH]_CCC=CCCC+O
461,461,S(763) + C7H15(680) <=> C7H14(808) + S(785),CCCCCC(C)O[O]+CCC[CH]CCC_CCC=CCCC+CCCCCC(C)OO
462,462,S(763) + C7H15(679) <=> C7H14(808) + S(785),CCCCCC(C)O[O]+CC[CH]CCCC_CCC=CCCC+CCCCCC(C)OO
463,463,C7H15(680) + S(782) <=> C7H14(808) + S(785),CCC[CH]CCC+CC[CH]CCC(C)OO_CCC=CCCC+CCCCCC(C)OO
464,464,S(782) + C7H15(679) <=> C7H14(808) + S(785),CC[CH]CCC(C)OO+CC[CH]CCCC_CCC=CCCC+CCCCCC(C)OO
465,465,S(1307) <=> S(1325),CCCC(CCCO)O[O]_C[CH]CC(CCCO)OO
466,466,S(1049) + C7H15(679) <=> S(1025) + C7H16(1),CCC(CCC(C)OO)OO+CC[CH]CCCC_CCC(CCC(C)OO)O[O]+CCCCCCC
467,467,S(1049) + C7H15(680) <=> S(1025) + C7H16(1),CCC(CCC(C)OO)OO+CCC[CH]CCC_CCC(CCC(C)OO)O[O]+CCCCCCC
468,468,S(1049) + C7H15(682) <=> S(1025) + C7H16(1),CCC(CCC(C)OO)OO+C[CH]CCCCC_CCC(CCC(C)OO)O[O]+CCCCCCC
469,469,S(1049) + C7H15(683) <=> S(1025) + C7H16(1),CCC(CCC(C)OO)OO+[CH2]CCCCCC_CCC(CCC(C)OO)O[O]+CCCCCCC
470,470,S(1049) + C7H15(679) <=> S(1048) + C7H16(1),CCC(CCC(C)OO)OO+CC[CH]CCCC_CCC(CCC(C)O[O])OO+CCCCCCC
471,471,S(1049) + C7H15(680) <=> S(1048) + C7H16(1),CCC(CCC(C)OO)OO+CCC[CH]CCC_CCC(CCC(C)O[O])OO+CCCCCCC
472,472,S(1049) + C7H15(682) <=> S(1048) + C7H16(1),CCC(CCC(C)OO)OO+C[CH]CCCCC_CCC(CCC(C)O[O])OO+CCCCCCC
473,473,S(1049) + C7H15(683) <=> S(1048) + C7H16(1),CCC(CCC(C)OO)OO+[CH2]CCCCCC_CCC(CCC(C)O[O])OO+CCCCCCC
474,474,C7H16(1) + S(1045) <=> S(1049) + C7H15(679),CCCCCCC+[CH2]CC(CCC(C)OO)OO_CCC(CCC(C)OO)OO+CC[CH]CCCC
475,475,C7H16(1) + S(1045) <=> S(1049) + C7H15(680),CCCCCCC+[CH2]CC(CCC(C)OO)OO_CCC(CCC(C)OO)OO+CCC[CH]CCC
476,476,C7H16(1) + S(1045) <=> S(1049) + C7H15(682),CCCCCCC+[CH2]CC(CCC(C)OO)OO_CCC(CCC(C)OO)OO+C[CH]CCCCC
477,477,C7H16(1) + S(1045) <=> S(1049) + C7H15(683),CCCCCCC+[CH2]CC(CCC(C)OO)OO_CCC(CCC(C)OO)OO+[CH2]CCCCCC
